### ADY MƏXFİ VƏ MƏHSULDAR YÜKLƏRİN MÜHAFİZƏSİ CƏDVALİ (Список кодов ГНГ подлежащих обязательной охране)

| Kod GNG (GNG_Code) | Mühafizə rejim (Okrana_Razi) | Kateqoriya təsviri (Opisanie_Kategorii) |
| **9100000** | 1 | Имбирь, шафран, турмерик |
| **10010000** | 1 | Пшеница и меслин |
| **10020000** | 1 | Рожь |
| **10030000** | 1 | Ячмень |
| **10040000** | 1 | Овес |
| **10050000** | 1 | Кукуруза |
| **10060000** | 1 | Рис |
| **10070000** | 1 | Сорго зерновое |
| **10080000** | 1 | Гречиха, просо, семена |
| **11010000** | 1 | Мука пшеничная или ржано-пшеничная |
| **11020000** | 1 | Мука из зерновых кроме пшеницы |
| **11030000** | 1 | Крупа, мука грубого помола |
| **11040000** | 1 | Зерно злаков обработанное |
| **11050000** | 1 | Мука, хлопья из картофеля |
| **11060000** | 1 | Мука из сушеных бобовых |
| **12020000** | 1 | Арахис нежареный |
| **12080000** | 1 | Мука из семян масличных |
| **12120000** | 1 | Плоды и семена масличные |
| **13020000** | 1 | Соки и экстракты растительные |
| **15070000** | 1 | Масло соевое |
| **15080000** | 1 | Масло арахисовое |
| **15090000** | 1 | Масло оливковое |
| **15100000** | 1 | Прочие масла оливковые |
| **15110000** | 1 | Масло пальмовое |
| **15120000** | 1 | Масло подсолнечное, сафлоровое |
| **15130000** | 1 | Масло кокосовое, пальмоядровое |
| **15140000** | 1 | Масло рапсовое, горчичное |
| **15150000** | 1 | Прочие жиры и масла |
| **15160000** | 1 | Жиры и масла гидрогенизированные |
| **15180000** | 1 | Масла химически модифицированные |
| **15210000** | 1 | Воски растительные и животные |
| **16010000** | 1 | Колбасы и аналогичные продукты |
| **16020000** | 1 | Готовые продукты из мяса |
| **16030000** | 1 | Экстракты и соки из мяса, рыбы |
| **16040000** | 1 | Готовая или консервированная рыба, икра |
| **16050000** | 1 | Готовые ракообразные, моллюски |
| **17010000** | 1 | Сахар тростниковый или свекловичный |
| **17020000** | 1 | Прочие сахара, сиропы |
| **17040000** | 1 | Кондитерские изделия из сахара |
| **18010000** | 1 | Какао-бобы |
| **18020000** | 1 | Шелуха и отходы какао |
| **18030000** | 1 | Какао-паста |
| **18040000** | 1 | Какао-масло, какао-жир |
| **18050000** | 1 | Какао-порошок без сахара |
| **18060000** | 1 | Шоколад и готовые пищевые продукты с какао |
| **19020000** | 1 | Макаронные изделия |
| **19050000** | 1 | Хлебобулочные и кондитерские изделия |
| **20010000** | 1 | Овощи и фрукты консервированные |
| **20020000** | 1 | Томаты консервированные |
| **20030000** | 1 | Грибы консервированные |
| **20040000** | 1 | Прочие овощи замороженные |
| **20050000** | 1 | Прочие овощи незамороженные |
| **20060000** | 1 | Овощи и фрукты засахаренные |
| **20070000** | 1 | Джемы, желе, мармелад |
| **20080000** | 1 | Фрукты и орехи консервированные |
| **20090000** | 1 | Соки фруктовые и овощные |
| **21010000** | 1 | Экстракты и эссенции кофе, чая |
| **21020000** | 1 | Дрожжи и пекарные порошки |
| **21030000** | 1 | Соусы и приправы |
| **21040000** | 1 | Супы и бульоны готовые |
| **21050000** | 1 | Мороженое |
| **21060000** | 1 | Пищевые продукты не поименованные |
| **22010000** | 1 | Воды минеральные и газированные |
| **22020000** | 1 | Воды с добавлением сахара, безалкогольные |
| **22030000** | 1 | Пиво солодовое |
| **22040000** | 1 | Вина виноградные натуральные |
| **22050000** | 1 | Вермуты и вина с растительными экстрактами |
| **22060000** | 1 | Напитки сброженные прочие (сидр, перри) |
| **22070000** | 1 | Спирт этиловый неденатурированный 80%+ |
| **22080000** | 1 | Спирт этиловый <80%, крепкие спиртные напитки |
| **22090000** | 1 | Уксус и его заменители |
| **24020000** | 1 | Сигары, сигариллы, сигареты из табака |
| **24030000** | 1 | Прочий табак промышленно изготовленный |
| **25230000** | 1 | Цемент, клинкер цементный |
| **27210000** | 1 | Масла минеральные |
| **27220000** | 1 | Смазки пластичные |
| **27310000** | 1 | Углеводороды |
| **28212000** | 1 | Краски минеральные |
| **29051100** | 1 | Метанол |
| **29360000** | 1 | Витамины и их производные |
| **29370000** | 1 | Гормоны |
| **29380000** | 1 | Гликозиды |
| **29390000** | 1 | Алкалоиды растительного происхождения |
| **29410000** | 1 | Антибиотики |
| **30010000** | 1 | Органы и ткани для терапевтических целей |
| **30020000** | 1 | Кровь человека, сыворотки, вакцины |
| **30030000** | 1 | Лекарственные средства не расфасованные |
| **30040000** | 1 | Лекарственные средства расфасованные |
| **30050000** | 1 | Вата, марля, бинты |
| **30060000** | 1 | Фармацевтические товары специальные |
| **32030000** | 1 | Вещества красящие растительного происхождения |
| **32040000** | 1 | Органические красящие вещества |
| **32080000** | 1 | Краски и лаки на основе синтетических полимеров |
| **32090000** | 1 | Краски водно-дисперсионные |
| **32140000** | 1 | Замазки, шпатлевки, мастики |
| **33010000** | 1 | Масла эфирные |
| **33020000** | 1 | Смеси душистых веществ |
| **33030000** | 1 | Духи и туалетная вода |
| **33040000** | 1 | Косметические средства |
| **33050000** | 1 | Средства для волос |
| **33060000** | 1 | Средства для гигиены полости рта |
| **33070000** | 1 | Средства, используемые до и после бритья |
| **36010000** | 1 | Порох |
| **36020000** | 1 | Вещества взрывчатые готовые |
| **36030000** | 1 | Шнуры бикфордовы, капсюли, детонаторы |
| **36040000** | 1 | Фейерверки, сигнальные ракеты |
| **36050000** | 1 | Спички |
| **40110000** | 1 | Шины и покрышки пневматические |
| **42020000** | 1 | Сумки, чемоданы, портфели, кошельки |
| **42030000** | 1 | Одежда и принадлежности из кожи |
| **43010000** | 1 | Сырье пушно-меховое |
| **43020000** | 1 | Дубленые меховые шкурки |
| **43030000** | 1 | Предметы одежды из меха |
| **44040000** | 1 | Древесина бондарная, колья |
| **44070000** | 1 | Пиломатериалы |
| **44080000** | 1 | Листы для облицовки (шпон) |
| **44120000** | 1 | Фанера клееная |
| **48010000** | 1 | Бумага газетная |
| **48020000** | 1 | Бумага и картон немелованные |
| **48180000** | 1 | Бумага туалетная, салфетки, скатерти |
| **48190000** | 1 | Коробки, ящики, мешки из бумаги |
| **50010000** | 1 | Коконы шелкопряда |
| **50070000** | 1 | Ткани из шелка |
| **51060000** | 1 | Пряжа из шерсти аппаратного spinning |
| **52080000** | 1 | Ткани хлопчатобумажные |
| **57010000** | 1 | Ковры и напольные покрытия узелковые |
| **57020000** | 1 | Ковры тканые |
| **57030000** | 1 | Ковры тафтинговые |
| **61010000** | 1 | Пальто, полупальто мужские трикотажные |
| **61020000** | 1 | Пальто, полупальто женские трикотажные |
| **61030000** | 1 | Костюмы, пиджаки мужские трикотажные |
| **61040000** | 1 | Костюмы, жакеты женские трикотажные |
| **61090000** | 1 | Майки, фуфайки трикотажные |
| **61100000** | 1 | Свитеры, пуловеры трикотажные |
| **62010000** | 1 | Пальто мужские нетрикотажные |
| **62020000** | 1 | Пальто женские нетрикотажные |
| **62030000** | 1 | Костюмы, брюки мужские нетрикотажные |
| **62040000** | 1 | Костюмы, платья женские нетрикотажные |
| **64010000** | 1 | Обувь водонепроницаемая |
| **64020000** | 1 | Обувь с верхом из резины/пластмассы |
| **64030000** | 1 | Обувь с верхом из натуральной кожи |
| **64040000** | 1 | Обувь с верхом из текстиля |
| **71010000** | 1 | Жемчуг природный или культивированный |
| **71020000** | 1 | Алмазы |
| **71030000** | 1 | Драгоценные и полудрагоценные камни |
| **71060000** | 1 | Серебро |
| **71080000** | 1 | Золото |
| **71100000** | 1 | Платина |
| **71130000** | 1 | Ювелирные изделия и их части |
| **72080000** | 1 | Прокат плоский из железа |
| **72090000** | 1 | Прокат плоский холоднокатаный |
| **72100000** | 1 | Прокат плоский плакированный |
| **73010000** | 1 | Конструкции шпунтовые из черных металлов |
| **73040000** | 1 | Трубы бесшовные из черных металлов |
| **73050000** | 1 | Трубы сварные большого диаметра |
| **73060000** | 1 | Трубы и профили прочие |
| **84070000** | 1 | Двигатели внутреннего сгорания с искровым зажиганием |
| **84080000** | 1 | Двигатели дизельные |
| **84150000** | 1 | Кондиционеры |
| **84180000** | 1 | Холодильники, морозильники |
| **84290000** | 1 | Бульдозеры, грейдеры, экскаваторы |
| **84500000** | 1 | Машины стиральные |
| **84710000** | 1 | Вычислительные машины (компьютеры) |
| **85170000** | 1 | Телефонные аппараты, смартфоны |
| **85280000** | 1 | Мониторы, проекторы, телевизоры |
| **87010000** | 1 | Тракторы |
| **87020000** | 1 | Моторные транспортные средства для 10+ человек |
| **87030000** | 1 | Автомобили легковые |
| **87040000** | 1 | Автомобили грузовые |
| **87110000** | 1 | Мотоциклы, мопеды |
| **90060000** | 1 | Фотокамеры |
| **91010000** | 1 | Часы наручные, карманные |
| **94010000** | 1 | Мебель для сидения |
| **94030000** | 1 | Мебель прочая и ее части |
| **95030000** | 1 | Игрушки, модели трехколесные велосипеды |
| **95040000** | 1 | Видеоигры, товары для игр |
