GNG_Code	Opisanie_Kategorii
24030000	Прочий табак промышленно изготовленный
25230000	Цемент, клинкер цементный
27210000	Масла минеральные
27220000	Смазки пластичные
27310000	Углеводороды
28212000	Краски минеральные
29051100	Метанол
29360000	Витамины и их производные
29370000	Гормоны
29380000	Гликозиды
29390000	Алкалоиды растительного происхождения
29410000	Антибиотики
30010000	Органы и ткани для терапевтических целей
30020000	Кровь человека, сыворотки, вакцины
30030000	Лекарственные средства не расфасованные
30040000	Лекарственные средства расфасованные
30050000	Вата, марля, бинты
30060000	Фармацевтические товары специальные
32030000	Вещества красящие растительного происхождения
32040000	Органические красящие вещества
32080000	Краски и лаки на основе синтетических полимеров
32090000	Краски водно-дисперсионные
32140000	Замазки, шпатлевки, мастики
33010000	Масла эфирные
33020000	Смеси душистых веществ
33030000	Духи и туалетная вода
33040000	Косметические средства
33050000	Средства для волос
33060000	Средства для гигиены полости рта
33070000	Средства, используемые до и после бритья
36010000	Порох
36020000	Вещества взрывчатые готовые
36030000	Шнуры бикфордовы, капсюли, детонаторы
36040000	Фейерверки, сигнальные ракеты
36050000	Спички
40110000	Шины и покрышки пневматические
42020000	Сумки, чемоданы, портфели, кошельки
42030000	Одежда и принадлежности из кожи
43010000	Сырье пушно-меховое
43020000	Дубленые меховые шкурки
43030000	Предметы одежды из меха
44040000	Древесина бондарная, колья
44070000	Пиломатериалы
44080000	Листы для облицовки (шпон)
44120000	Фанера клееная
48010000	Бумага газетная
48020000	Бумага и картон немелованные
48180000	Бумага туалетная, салфетки, скатерти
48190000	Коробки, ящики, мешки из бумаги
50010000	Коконы шелкопряда
50070000	Ткани из шелка
51060000	Пряжа из шерсти аппаратного spinning
52080000	Ткани хлопчатобумажные
57010000	Ковры и напольные покрытия узелковые
57020000	Ковры тканые
57030000	Ковры тафтинговые
61010000	Пальто, полупальто мужские трикотажные
61020000	Пальто, полупальто женские трикотажные
61030000	Костюмы, пиджаки мужские трикотажные
61040000	Костюмы, жакеты женские трикотажные
61090000	Майки, фуфайки трикотажные
61100000	Свитеры, пуловеры трикотажные
62010000	Пальто мужские нетрикотажные
62020000	Пальто женские нетрикотажные
62030000	Костюмы, брюки мужские нетрикотажные
62040000	Костюмы, платья женские нетрикотажные
64010000	Обувь водонепроницаемая
64020000	Обувь с верхом из резины/пластмассы
64030000	Обувь с верхом из натуральной кожи
64040000	Обувь с верхом из текстиля
71010000	Жемчуг природный или культивированный
71020000	Алмазы
71030000	Драгоценные и полудрагоценные камни
71060000	Серебро
71080000	Золото
71100000	Платина
71130000	Ювелирные изделия и их части
72080000	Прокат плоский из железа
72090000	Прокат плоский холоднокатаный
72100000	Прокат плоский плакированный
73010000	Конструкции шпунтовые из черных металлов
73040000	Трубы бесшовные из черных металлов
73050000	Трубы сварные большого диаметра
73060000	Трубы и профили прочие
84070000	Двигатели внутреннего сгорания с искровым зажиганием
84080000	Двигатели дизельные
84150000	Кондиционеры
84180000	Холодильники, морозильники
84290000	Бульдозеры, грейдеры, экскаваторы
84500000	Машины стиральные
84710000	Вычислительные машины (компьютеры)
85170000	Телефонные аппараты, смартфоны
85280000	Мониторы, проекторы, телевизоры
87010000	Тракторы
87020000	Моторные транспортные средства для 10+ человек
87030000	Автомобили легковые
87040000	Автомобили грузовые
87110000	Мотоциклы, мопеды
90060000	Фотокамеры
91010000	Часы наручные, карманные
94010000	Мебель для сидения
94030000	Мебель прочая и ее части
95030000	Игрушки, модели трехколесные велосипеды
95040000	Видеоигры, товары для игр
